Fwy	District	County	City	CA PM	Abs PM	Length	ID	Name	Lanes	Type	Sensor Type	HOV	MS ID	IRM
SR1-S	5	Santa Cruz		R1.38799999999998	352.481	.773	500013022	HWY 129 AT HWY 1 SB VDS MLSB SB	2	Mainline		No	1	
SR1-S	5	Santa Cruz		R2.4259	353.519	1.005	500013032	HARKINS SLOUGH RD HWY 1 NB VDS M	2	Mainline		No	1	
SR1-S	5	Santa Cruz		R2.42702	353.52		500013033	HARKINS SLOUGH RD HWY 1 NB VDS O	1	On Ramp		No	1	
SR1-S	5	Santa Cruz		R3.3969	354.49		500013041	HWY 152 AT HWY 1 SB VDS OFSB SB	1	Off Ramp		No	1	
SR1-S	5	Santa Cruz		R3.39802	354.491	1.048	500013042	HWY 152 AT HWY 1 SB VDS MLSB SB	2	Mainline		No	1	
SR1-S	5	Santa Cruz		R4.5219	355.615	.962	500013051	BUENA VISTA DR HWY 1 SB VDS MLSB	2	Mainline		No	1	
SR1-S	5	Santa Cruz		R5.322	356.415	1.107	500013061	MIDPOINT HWY 1 SB VDS MLSB SB	2	Mainline		No	1	
SR1-S	5	Santa Cruz		R6.7359	357.829	1.143	500013072	MAR MONTE AVE AT HWY 1 NB VDS ML	3	Mainline		No	1	
SR1-S	5	Santa Cruz		R7.60898	358.702	.642	500013082	MAR MONTE AVE AT HWY 1 NB VDS ML	3	Mainline		No	1	
SR1-S	5	Santa Cruz		R8.0198	359.113	.352	500013092	LARKIN VALLEY RD HWY 1 NB VDS ML	2	Mainline		No	1	
SR1-S	5	Santa Cruz		8.11000000000001	359.408	.441	500013102	FREEDOM BLVD HWY 1 NB VDS MLSB S	2	Mainline		No	1	
SR1-S	5	Santa Cruz		8.699	359.997	.451	500013111	FREEDOM BLVD AT HWY 1 SB VDS MLS	2	Mainline	radars	No	1	
SR1-S	5	Santa Cruz		9.0141	360.312	.426	500013123	RIO DEL MAR BLVD AT HWY 1 NB VDS	2	Mainline		No	1	
SR1-S	5	Santa Cruz		9.01499	360.313		500013124	RIO DEL MAR BLVD AT HWY 1 NB VDS	1	On Ramp		No	1	
SR1-S	5	Santa Cruz		9.5522	360.85	.653	500013131	RIO DEL MAR BLVD AT HWY 1 SB VDS	2	Mainline	radars	No	1	
SR1-S	5	Santa Cruz		10.319	361.617	.61	500013142	STATE PARK DR AT HWY 1 NB VDS ML	2	Mainline		No	1	
SR1-S	5	Santa Cruz		10.772	362.07	.565	500013151	STATE PARK DR AT HWY 1 SB VDS ML	2	Mainline	radars	No	1	
SR1-S	5	Santa Cruz		11.449	362.747	.553	500014012	PARK AVE NEXT EXIT SIGN HWY 1 NB	2	Mainline		No	1	
SR1-S	5	Santa Cruz		11.88	363.178	.443	500014022	PARK AVE AT HWY 1 NB VDS MLSB SB	2	Mainline	radars	No	1	
SR1-S	5	Santa Cruz	Capitola	12.337	363.635	.576	500014031	PARK AVE AT HWY 1 SB VDS MLSB SB	2	Mainline	radars	No	1	
SR1-S	5	Santa Cruz	Capitola	13.033	364.331	.471	500014042	BAY AVE / PORTER ST AT HWY 1 NB	2	Mainline	radars	No	1	
SR1-S	5	Santa Cruz	Capitola	13.278	364.576		500014051	BAY AVE / PORTER ST AT HWY 1 SB	1	Off Ramp		No	1	
SR1-S	5	Santa Cruz	Capitola	13.279	364.577	.291	500014052	BAY AVE / PORTER ST AT HWY 1 SB	2	Mainline	radars	No	1	
SR1-S	5	Santa Cruz		13.613	364.911		500014061	41ST ST OC AT HWY 1 SB VDS ONSB	1	On Ramp		No	1	
SR1-S	5	Santa Cruz		13.614	364.912	.324	500014062	41ST ST OC AT HWY 1 SB VDS MLSB	2	Mainline	radars	No	1	
SR1-S	5	Santa Cruz		13.928	365.226	.398	500014071	41ST ST EXIT AT HWY 1 SB VDS MLS	2	Mainline	radars	No	1	
SR1-S	5	Santa Cruz		14.41	365.708	.536	500014082	SOQUEL DR NEXT EXIT SIGN HWY 1 N	3	Mainline	radars	No	1	
SR1-S	5	Santa Cruz	Santa Cruz	15	366.298	.578	500014091	SOQUEL AVE AT HWY 1 SB VDS MLSB	2	Mainline	radars	No	1	
SR1-S	5	Santa Cruz	Santa Cruz	15	366.298		500014094	SOQUEL AVE AT HWY 1 SB VDS OFSB	1	Off Ramp		No	1	
SR1-S	5	Santa Cruz	Santa Cruz	15.565	366.863	.291	500014103	EAST OF MORRISSEY BLVD AT HWY 1	3	Mainline		No	1	
SR1-S	5	Santa Cruz	Santa Cruz	15.583	366.881	.225	500014102	EAST OF MORRISSEY BLVD AT HWY 1	2	Mainline	radars	No	1	
SR1-S	5	Santa Cruz	Santa Cruz	16.015	367.313	.372	500014112	WEST OF MORRISSEY BLVD AT HWY 1	3	Mainline	radars	No	1	
SR1-S	5	Santa Cruz	Santa Cruz	16.016	367.314		500014113	WEST OF MORRISSEY BLVD AT HWY 1	1	Off Ramp		No	1	
SR1-S	5	Santa Cruz	Santa Cruz	16.328	367.626	.352	500014122	EAST OF EMELINE DR AT HWY 1 NB V	3	Mainline	radars	No	1	
